# 	H(r.l.u.)	K(r.l.u.)	L(r.l.u.)	Temperature(K)	e_fraction	e_fraction_err	e_sigma	e_sigma_err	e_amplitude	e_amplitude_err	e_height	e_height_err	e_FWHM	e_FWHM_err	PH_fraction	PH_fraction_err	PH_sigma	PH_sigma_err	PH_center	PH_center_err	PH_amplitude	PH_amplitude_err	PH_FWHM	PH_FWHM_err	TM_skew	TM_skew_err	TM_FWHM	TM_FWHM_err	TM_center	TM_center_err	TM_area	TM_area_err	CO_skew	CO_skew_err	CO_FWHM	CO_FWHM_err	CO_center	CO_center_err	CO_area	CO_area_err	LM_FWHM	LM_FWHM_err	LM_center	LM_center_err	LM_area	LM_area_err
    -0.437500     -0.437500     28.250000     20.000000      0.526192      0.000000     14.048579      0.000000    107.252559      7.225598      2.977789      0.200613     28.097159      0.000000           nan           nan           nan           nan           nan           nan           nan           nan           nan           nan      0.107601      0.048624     28.041200           nan     76.399600           nan    593.538079           nan      0.407693      0.103818     98.657800           nan    164.290400           nan    154.673471           nan     28.097159      0.000000     95.902493      3.459263    107.622461     30.405258
    -0.375000     -0.375000     28.250000     20.000000      0.526192      0.000000     14.048579      0.000000    103.051936      6.130480      2.861162      0.170208     28.097159      0.000000           nan           nan           nan           nan           nan           nan           nan           nan           nan           nan      0.247625      0.068271     31.770000           nan     90.020000           nan    440.517749           nan      0.508344      0.111181    139.200000           nan    183.960000           nan    178.436029           nan     28.097159      0.000000    118.124260      4.938171     38.227079     14.233335
    -0.312500     -0.312500     28.250000     20.000000      0.526192      0.000000     14.048579      0.000000     67.368726      4.620159      1.870444      0.128275     28.097159      0.000000           nan           nan           nan           nan           nan           nan           nan           nan           nan           nan      0.300089      0.072207     31.640000           nan     99.610000           nan    294.129436           nan      0.700620      0.225052    248.870000           nan    219.730000           nan     98.990486           nan     35.920000           nan    178.910000           nan     30.032351           nan
    -0.250000     -0.250000     28.250000     20.000000      0.526192      0.000000     14.048579      0.000000     55.805327      5.089952      1.549394      0.141319     28.097159      0.000000      0.526192      0.000000     14.048579      0.000000     22.966599      0.000000      6.468560      4.804769     28.097159      0.000000      0.282746      0.112215     31.300000           nan     99.740000           nan    173.806568           nan      0.644378      0.169759    182.810000           nan    206.810000           nan    135.794634           nan           nan           nan           nan           nan           nan           nan
    -0.187500     -0.187500     28.250000     20.000000      0.526192      0.000000     14.048579      0.000000     43.085673      5.472124      1.196242      0.151930     28.097159      0.000000      0.526192      0.000000     14.048579      0.000000     22.785234      0.000000     10.501271      5.441551     28.097159      0.000000      0.763907      0.189026     29.480000           nan    100.630000           nan     97.918950           nan      0.707164      0.257088    157.510000           nan    170.500000           nan     90.438143           nan           nan           nan           nan           nan           nan           nan
    -0.125000     -0.125000     28.250000     20.000000      0.526192      0.000000     14.048579      0.000000     45.013492      5.207703      1.249767      0.144588     28.097159      0.000000      0.526192      0.000000     14.048579      0.000000     22.603869      0.000000     10.021279      5.125927     28.097159      0.000000      0.341967      0.126020     31.390000           nan     96.660000           nan     82.564780           nan      0.347069      0.146361    116.900000           nan    217.050000           nan     24.505513           nan     63.520000           nan    154.120000           nan     26.921001           nan
    -0.062500     -0.062500     28.250000     20.000000      0.526192      0.000000     14.048579      0.000000     23.528127      5.872717      0.653241      0.163052     28.097159      0.000000      0.526192      0.000000     14.048579      0.000000     22.422503      0.000000     26.150579      5.830416     28.097159      0.000000      0.217552      0.137841     32.800000           nan     89.340000           nan     76.936717           nan      0.269413      0.121985     93.710000           nan    192.880000           nan     38.615074           nan     28.097159      0.000000    138.144095      4.859781     15.767825      4.663417
     0.000100      0.000000     28.249500     20.000000      0.526192      0.000000     14.048579      0.000000     27.775135      2.778039      0.771156      0.077130     28.097159      0.000000      0.526192      0.000000     14.048579      0.000000     22.241138      0.000000     16.337930      2.752502     28.097159      0.000000      0.109809      0.071170     28.038900           nan     91.685000           nan     52.516364           nan      0.473040      0.079292    111.899500           nan    150.617100           nan     32.822331           nan     28.097159      0.000000    151.459517      3.769450      7.617393      2.502241
    -0.125000      0.000000     28.250000     20.000000      0.526192      0.000000     14.048579      0.000000     44.346192     12.066250      1.231240      0.335011     28.097159      0.000000      0.526192      0.000000     14.048579      0.000000     20.908409      0.000000     45.035776     11.909092     28.097159      0.000000      0.513503      0.173734     31.260000           nan     95.990000           nan    111.435388           nan      0.326789      0.140138     93.000000           nan    204.830000           nan     92.757972           nan     28.097159      0.000000    132.829209      6.183132     20.661387      6.948137
    -0.250000      0.000000     28.250000     20.000000      0.526192      0.000000     14.048579      0.000000     37.552400     14.770674      1.042615      0.410097     28.097159      0.000000      0.526192      0.000000     14.048579      0.000000     19.575680      0.000000     58.752135     14.128608     28.097159      0.000000      1.227696      0.538686     41.990000           nan    121.020000           nan    149.518719           nan      0.297814      0.124502    130.470000           nan    222.780000           nan    125.509178           nan           nan           nan           nan           nan           nan           nan
