# H(r.l.u.)	K(r.l.u.)	dQ(r.l.u.)
     0.01953118      0.01953118      1.17948451
     0.01562500      0.01562500      1.18500867
     0.01171875      0.01171875      1.19053294
     0.00781250      0.00781250      1.19605721
     0.00390625      0.00390625      1.20158149
     0.00000000      0.00000000      1.20710576
     0.00390625      0.00000000      1.21101201
     0.00781250      0.00000000      1.21491826
     0.01171875      0.00000000      1.21882452
     0.01562500      0.00000000      1.22273077
     0.01953118      0.00000000      1.22663694
     0.02343748      0.00000000      1.23054324
     0.02734377      0.00000000      1.23444954
     0.03125007      0.00000000      1.23835583
     0.03515621      0.00000000      1.24226197
     0.03906251      0.00000000      1.24616827
     0.04296881      0.00000000      1.25007457
     0.04687495      0.00000000      1.25398071
     0.05078125      0.00000000      1.25788701
     0.05468755      0.00000000      1.26179331
     0.05859369      0.00000000      1.26569945
     0.06249999      0.00000000      1.26960575
     0.06640629      0.00000000      1.27351205
     0.07031243      0.00000000      1.27741819
     0.07421872      0.00000000      1.28132449
     0.07812502      0.00000000      1.28523079
     0.08203132      0.00000000      1.28913708
     0.08593746      0.00000000      1.29304322
     0.08984376      0.00000000      1.29694952
     0.09375006      0.00000000      1.30085582
     0.09765620      0.00000000      1.30476196
     0.10156250      0.00000000      1.30866826
     0.10546880      0.00000000      1.31257456
     0.10937494      0.00000000      1.31648070
     0.11328124      0.00000000      1.32038700
     0.11718754      0.00000000      1.32429330
     0.12109368      0.00000000      1.32819944
     0.12499997      0.00000000      1.33210574
     0.12890627      0.00000000      1.33601203
     0.13281257      0.00000000      1.33991833
     0.13671871      0.00000000      1.34382447
     0.14062501      0.00000000      1.34773077
     0.14453131      0.00000000      1.35163707
     0.14843745      0.00000000      1.35554321
     0.15234375      0.00000000      1.35944951
     0.15625005      0.00000000      1.36335581
     0.16015603      0.00000000      1.36726179
     0.16406328      0.00000000      1.37116904
     0.16796894      0.00000000      1.37507471
     0.17187461      0.00000000      1.37898037
     0.17578186      0.00000000      1.38288762
     0.17968752      0.00000000      1.38679328
